영단어|한국단어|설명
APHoMSA|아·태 해사안전기관장회의|APHoMSA (Asia Pacific Heads of Maritime Safety Agencies), 아시아·태평양 지역 국가의 해양환경 보호 및 해사안전에 관한 정책 교류 그리고 해당 지역에서 발생하는 해양사고의 대응 및 조사에 관한 정보공유를 통해 국제협력 차원에서 발전적인 네트워크를 형성하여 공동 이익을 위해 대응 활동을 펼침. 2019년 제20차 APHoMSA 회의가 대한민국 서울에서 개최
API (American Petroleum Institute|미국 석유협회|NULL
APPARENT POWER|피상 전력|NULL
APPLICATION SPECIFIC IC|응용 주문형 집적회로|NULL
APPROACH CONTROL RADAR|근접관계 레이다|NULL
APPROVAL|승인|NULL
APT (After Peak Tank|선미 피이크 탱크|NULL
ARMATURE REACTION|전기자 반작용|NULL
ARPA (Automatic Rader Plotting Aids|레이다 자동충돌 예방 항법장치|NULL
ARTIFICIAL INTELLIGENCE|인공 지능|NULL
ASI (Allocated Stock Item|당용(當用)저장자재|NULL
ASME(American Society of Mechanical Engineers|미국기계학회|NULL
ASP|운용 서비스 제공자|ASP (Application Service Provider), CSP를 통하여 수신된 선박의 LRIT 자료수집 후 이를 선박의 기국 DC로 송신함. ASP는 상업적 단체(기업)이며, 각 당사국은 자국 선박이 발송하는 LRIT 데이터를 자국 DC로 송신할 ASP를 자체적으로 선택 및 승인함
ASSOCIATION FRANCAISE DE NORMALIZATION|프랑스 규격협회|NULL
AST (Anti-Suction Tunnel|선수(船首)스라스트측 관통구(貫通口|NULL
ASTM (American Society of Testing Materials|미국 재료시험협회|NULL
ASYNCHRONOUS MACHINE|비동기기|NULL
ASYNCHRONOUS PHASE MODIFIER|비동기 조상기|NULL
AT : Appearance Test|에이티시험|외관검사 참조
ATBA|피항 수역|ATBA (Area To Be Avoid), IMO가 지정하는 해역으로 항해위험이 예상되거나, 해양 사고가 발생할 수 있으므로 선박이 통항하지 못하도록 제한된 수역을 말함
AUDIO FREQUENCY|가청 주파수|NULL
AUDIO RESPONSE UNIT|음성 응답 장치|NULL
AUS (Auto Unloading System|자동부하경감 장치|NULL
AUSTRALIAN WATERSIDE WORKERS FEDERATION|오스트레일리아 연안노동자연합|NULL
AUTHORIZED INSPECTOR|공인검사관|NULL
AUTO TRANSFORMER|단권 변압기|NULL
AUTOMATED MUTUAL-ASSISTANCE VESSEL RESCUE SYSTEM|선박구조에 관한 상호 원조기국(미국)|NULL
AUTOMATIC APPROVAL|자동 승인|NULL
AUTOMATIC BRIDGE CONTROL SYSTEM FOR UNATTENDED ENGINE ROOM|ABS(미국 선급) 무인화등급|NULL
AUTOMATIC BRIGHTNESS AND CONTRAST|자동 휘도 콘트라스트 조절|NULL
AUTOMATIC BRIGHTNESS CONTROL|자동 휘도 조절|NULL
AUTOMATIC COMBUSTION CONTROL|보일러의 자동연소 제어|NULL
AUTOMATIC CONTROL ROOM FOR UNATTENDED ENGINE ROOM CERTIFIED|ABS(미국 선급) 무인화등급|NULL
AUTOMATIC CONTROL SYSTEM CERTIFIED|ABS(미국 선급) 무인화등급|NULL
AUTOMATIC DIRECTION FINDER|자동 방위 측정기|NULL
AUTOMATIC DIRECTION FINDER|자동 방향 측정기|NULL
AUTOMATIC ROUTE SELECTION|자동 경로 선택|NULL
AUTOMATIC SEND/RECEIVE SET|자동 송수신 장치|NULL
AUTOMATIC START CONTROL|자동시동 조종장치|NULL
AUTOMATIC TRAIN CONTROL, AUTOMATIC|자동 열차 제어 , 자동 교통 제어|NULL
AUTOMATIC VEHICLE MONITORING SYSTEM|차량 위치 모니터링 시스템|NULL
AUTOMATIC VOLTAGE REGULATOR|자동 전압 조정기|NULL
AUTOMATION COMBUSTION CONTROL TEST|자동연소 조정시험|NULL
AUTOMATION DISTRIBUTION SYSTEM|배전 자동화 시스템|NULL
AUTOMATION FINE TUNING|자동 세밀 조정|NULL
AUTOMATION FREQUENCY CONTROL|자동 주파수 제어|NULL
AUTOMATION GAIN CONTROL|자동 이득 제어|NULL
AUXILIARY CONTROL CONSOLE|보기 제어 콘솔|NULL
AUXILIARY ENGINE|보조 기관|NULL
AUXILIARY MACHINERY ROOM|보조 기관실|NULL
AVR (Automatic Voltage Regulator|자동전압 조정기|NULL
AWB (Airway Bill ) No.|항공화물수취증번호|NULL
AWES(The Association of Western European Shipbuilders|서유럽 조선공업협회|NULL
AWG(American Wire Gauge|미국 전선번호 규격|NULL
AWS ( American Welding Society|미국 용접협회|NULL
AWWF(Australian Waterside Workers' Federation|오스트레일리아 연안(沿岸)노동자연합|NULL
Abaft|선미(船尾)방향으로|NULL
Abandoned, Lost or otherwise Discarded Fishing Gear (ALDFG)|버려지거나 유실되는 폐어구|어업 활동 중 버려지거나(abandoned) 유실(lost) 또는 고의로 버려지는(discarded) 폐어구를 총칭. 해양 플라스틱 쓰레기의 상당 부분이 ALDFG로 구성되어 있어 이에 대한 국제적 차원의 대응이 진행되고 있음
Abandonment of seafarers|선원의 유기|다음의 경우에 선원의 유기가 발생한 것으로 보며, 이에 대해 국제협약 및 국내법에 따라 유기된 선원의 구제방안이 마련됨 선박소유자가 선원을 송환하지 아니하거나 송환에 필요한 비용을 선원에게 지급하지 아니한 경우; 선박소유자가 임금을 2개월 이상 지급하지 아니하고 선원과의 연락을 두절하는 등 근로관계를 일방적으로 단절한 경우; 선박소유자가 관련법 또는 근로 계약에 따라 선원에게 제공해야 하는 식료품, 물, 생존을 위하여 필요한 연료 및 의료지원 등 선상생활에 필요한 재화나 서비스를 제공하지 아니한 경우
Abnormal Operation|비정상(非正常) 운전|NULL
Aboard|선내(船內)에|NULL
Abrasion Material/ Abrasive|연마제(硏磨劑|NULL
Abs. Press. (Absolute Pressure|절대압력|NULL
Absolute Humidity|절대습도|1kg의 기체중에 포함된 물의 중량
Abutting Plate|인접(隣接)한 판|NULL
Acceptable Quality Level|합격품질수준|NULL
Acceptance / Approval|수락 / 승인|수락이나 승인은 주로 다자조약에 대한 국가의 기속적 동의 표시의 한 방법으로 조약의 원서명자로서 수락이나 승인을 행하는 경우와 조약의 원서명자가 아닌 국가가 수락이나 승인을 행하는 경우로 나누어 볼 수 있는 데, “수락의 조건으로” 또는 “승인의 조건으로” 서명한 후 행하는 전자의 경우는 “비준” 그리고 해당 조약채택 시 서명을 하지 않았던 국가가 후에 행하는 수락이나 승인은 “가입”과 같은 의미와 효과를 지님
Access Hole|억세스홀|NULL
Access Hole|통로(通路) 구멍|NULL
Access Ladder|출입용 사다리|NULL
Accessibility|접근의 난이도|NULL
Accession|가입|다자조약의 원 서명국이 아닌 국가가 추후 당사국이 되기 위하여 조약상의 규정(가입)에 따라 국가의 기속적 동의를 표시하는 행위
Accessory|부속품(附屬品|NULL
Accident Prevention|사고 방지(事故防止|NULL
Accommodation (Accom.|거주 설비|NULL
Accommodation Deck|거주갑판|선원이나 승객의 거주공간이 배치된 갑판
Accommodation Deck|거주설비|배안의 선원 및 여객이 거주하는데 필요한 설비들의 총칭
Accommodation Ladder|현측(舷側) 사다리|NULL
Accommodation Plan|거주실 배치도|배안의 거주실 배치를 나타낸 도면
Accommodation Space|거주구역|NULL
Accomodation|거주설비|NULL
Accounting System|회계 제도|NULL
Accummulator|어큐뮬레리터|펌프에서 발생한 압력에너지를 축적하였다가 필요에 따라 기계를 작동시키는 장치
Accumulative Erection Weight Curve|탑재중량 누계곡선|NULL
Accumulator|축압기(蓄壓器|NULL
Accuracy Control|정도관리(精度 管理|NULL
Acetylene Gas|아세틸렌 가스|NULL
Acetylene Gas Generator|아세틸렌 가스발생기|카바이트(CaCO2)와 물을 접촉반응시켜 아세틸렌(C2H2) 가스를 발생시키는 장치
Achievement of the Goals|목표(目標)의 달성|NULL
Acid Pickling|산세척(酸洗滌|NULL
Acid Resisting Paint|내산페인트|산에 대한 저항력이 큰 도료
Act of God|천재|자연력에 의해서 발생하는 불가항력적인 재해
Act or omission|작위 또는 부작위|Act와 Omission이라는 표현은 법률 용어인 작위와 부작위로 표현됨. 일반적으로 작위는 적극적인 행위이고 부작위는 소극적인 행위라고 할 수 있는데 이를 좀 더 자세히 살펴보면 아래와 같음. 작위란 법적, 규범적으로 금지된 일을 의식적으로 행한 적극적인 행위를 뜻함. 즉, 법규로 금지됐기 때문에 하지 말아야 할 일을 의식적으로 하는 것이라고 할 수 있으며, 한마디로 말하면 법규를 어기고 의식적으로 범죄를 저지르는 행위를 작위라고 할 수 있음. 부작위란 마땅히 해야 할 일을 일부러 하지 않는 소극적인 행위를 뜻함. 즉, 법적, 도덕적으로 볼 때 마땅히 해야 할 일을 일부러 하지 않아 죄를 저지르게 되는 소극적인 행위라고 할 수 있음. 예를 들어 부모는 미성년자인 자녀를, 어른이 된 자녀는 자기가 부양하는 부모를 생명이나 신체에 대한 위험으로부터 민법상 보호할 의무를 지게 되는데 이를 이행하지 않는다면 부작위가 되는 것임
Active Pass Filter|능동 필터|NULL
Active Pass Filter|자동 오자 정정 장치|NULL
Active Power|유효 전력|NULL
Active substance|활성 물질|유해 수중생물 및 병원균에 대해 일반적 또는 특이적인 반응을 가지는 물질 또는 생물(바이러스 또는 균류 포함)을 지칭함
Activities on Critical Path|주공정상(主工程上)의 작업|NULL
Activity Duration Reduction|작업기간단축|NULL
Actual Manhours Used on Previous Ship|실적선(實積船)의 투입시수|NULL
Actual Throat|실제목두께|필렛용접부의 단면에서 용접부의 루트로부터 표면까지의 최단거리
Actylene Welding|아세틸렌용접|산소와 아세틸렌가스의 혼합기체의 연소열을 이용하는 용접법
Adapter|어댑타|NULL
Adaptive Delta Modulation|적응 델타 변조|NULL
Adaptive Differential Pulse|적응 차등 펄스 부호 변조방식|NULL
Additional Work|추가 공사(追加工事|NULL
Additive|첨가제(添加劑|NULL
Adhesion Test|부착력(附着力) 시험|NULL
Adjacent Block|인접(隣接) 블록|NULL
Adjustable Condenser,|가변 콘덴서|NULL
Adjustable Inductor|가변 인덕터|NULL
Adjustable Pin Jig|조정가능 핀지그|NULL
Adjustable Resistor,|가변 저항기|NULL
Adjustable Side Block|자동반목|입거선박의 선저높이와 경사에 맞도록 유압 또는 기계식으로 조절되는 반목
Adjustable Thrust Block|조절식추력베어링|축방향으로 위치조절이 가능한 추력베어링
Adjusting Piece (Adj. Pc|조정 피이스|NULL
Administration|주관청|그 선박의 국기를 게양할 권리를 가진 당사국의 정부를 지칭함
Admiralty Coefficient|애드미럴티계수|선박의 저항성능을 평가하거나 비교할 때 사용되는 무차원화계수
Admission Control|출 입통제|NULL
Admission Silencer|진입공기소음기|기관이나 송풍기의 공기흡입소음을 줄이기 위해 설치하는 장치
Aerofoil|에어러포일|에어포일과 같음
Aeronautics|항공학|항공기에 관련된 학문
Aerovane|풍량풍속계|풍향과 풍속의 수평성분을 동시에 잴 수 있는 계기
Afloat Condition|부양 상태(浮揚狀態|NULL
Aftbody|선체후반부|선체중앙보다 뒤쪽부분
After Draft|선미흘수|선미부의 흘수
After Peak Bulkhead (A.P Bhd|선미격벽(船尾隔壁|NULL
After Spring|애프터스프링|선박의 안벽계류시 갑판에서 나온 로프를 선박의 뒷쪽 안벽에 묶는 계류방식
After-Bending Pipe|후곡(後曲) 관제작|NULL
After-burning|후연|디젤기관에서 연료가 폭발행정에서 완전연소되지 못하고 배기행정에서도 연소가 이어지는 현상
After-generation|지연발생|아세틸렌 발생기에서 카바이트에 물을 공급하고 나서 일정시간이 지난 후에 가스가 발생하는 것
After-hold|후부선창|삼도형 선박에서 중앙에 위치한 기관실 뒤쪽에 있는 선창
Afterbody|후부 선체(後部船體|NULL
Afterhood Plating|선미골재외판|선미골재에 좌우대칭으로 붙여지는 외판
Afterpeak Tank|선미피크탱크|선미탱크와 같은 뜻으로 선미격벽 뒷부분에 위치하며 밸러스트와 청수탱크로 활용됨
Aftpeak Tank|선미탱크|선미트림 조절을 위해 물을 채우도록 구조된 선미부의 물탱크
Aftward|선미(船尾)쪽으로|NULL
Aggregate Production Planning|총괄생산계획|NULL
Agitation|교 반(攪拌|NULL
Agreement|협정|국제간 조약의 일종으로 주로 정치적 성격의 전문적·기술적인 주제를 다루는 경우에 사용함. 국제법상 효력 등은 조약과 동일하나 엄격한 형식을 취하지 않고 비교적 중요성이 낮은 합의에 쓰임 예) 한·호주자원협력 협정 (2005)
Ahead|전진|배가 앞으로 나아 가는 것
Air Bottle|압축공기병|압축공기를 담아두는 용기
Air Burble Breakwater|공기거품 방파제|항구 입구의 수중에 파이프를 배관하여 압축공기를 뿜어 거품을 이르킴으로서 파도의 에너지를 흡수하여 항내의 파도를 줄이는 방식
Air Change Rate|환기지수|환기통의 효능을 나타내는 기수로 시간당 환기량과 방의 용적의 비율로 나타냄
Air Cock|에어콕|액체나 가스의 용기 또는 배기관 등에 공기를 뽑거나 넣어주기 위해 달린 콕
Air Compressor|공기 압축기|NULL
Air Conditioning Plant|공기조화 장치|NULL
Air Cooler|공기냉각기|디젤기관의 과급공기를 물로 냉각시켜주는 기기
Air Cooling|공냉|공기로 냉각시키는 것
Air Dryer|탈습기|공기 중의 습기를 제거하는 장치
Air Ejector|공기 이젝타|NULL
Air Escape|공기도출구|공기가 다른 유체의 부피증가로 인한 압력에 밀려 빠져나가는 구멍
Air Filter|공기여과기|공기를 여과하여 공기 중 불순물을 거르는 장치
Air Fuel Ratio|공연비(空燃比|NULL
Air Hatch|공기창|환기를 위하여 공간의 뚜껑에 설치되는 햇치로 사람의 통로로 쓰이기도 함
Air Heater|공기예열기|연소가스의 배기열을 이용하여 기관이나 보일러 연소공기의 온도를 높여주는 장치
Air Hole|공기(空氣) 구멍|NULL
Air Horn|공기호각|압축공기로 진동판을 울려 소리내는 장치
Air Horn|기 적(氣笛|NULL
Air Horn|기적|압축공기로 경적이 나게하는 장치
Air Louver|공기조절창|통풍방향을 조절할 수 있는 창문
Air Pipe|공기관(空氣管|NULL
