영단어|한국단어|설명
Hover Craft|호버크래프트|NULL
Hub|허브|일반적 프로펠러에서 날개가 붙어있는 가운데 축부분의 토막
Huge Vessel Light|대형선박 표시등|NULL
Hull|선체|기관을 제외한 배의 몸통
Hull Appendage|선체 부가물(附加物|NULL
Hull Block Painting|블록 도장(塗裝|NULL
Hull Construction|선각 구조(船殼構造|NULL
Hull Form Coefficient|선형 계수(船型係數|NULL
Hull Fouling|선체 오손(船體汚損|NULL
Hull Girder|선각거더|선각을 하나의 상자형 거더로 나타낸 것
Hull Girder Bending Strength|선체굽힘강도|선체 하중과 부력의 차이로 생기는 선박의 길이 방향 굽힘 모멘트에 견디는 강도
Hull Natural Frequency|선체고유진동수|선체가 갖는 고유의 자연진동수
Hull Opening|선체 개구(船體開口|NULL
Hull Outfit|선체 의장(船體艤裝|NULL
Hull Parallel Part|선체평행부|선체 중앙 평행부와 동일
Hull Parts List|선각부재(船殼部材)표|NULL
Hull Piping|선장 배관(船裝配管|NULL
Hull Preservation|선체 보존(船體保存|NULL
Hull Production Schedule|구조 생산 계획|NULL
Hull Steel|선각 강재(船殼鋼材|NULL
Hull Strength|선체 강도|NULL
Hull Stress Monitoring System|선체응력감시장치|NULL
Hull Structure|선체구조|선체의 골격과 외판 갑판 등을 구성하는 구조
Hull Valve|선체붙이밸브(선외변)|선저나 선측외판에 부착된 밸브
Hull Weight|선각중량|선각을 구성하는 부재의 총 중량
Hull Weight|선체부(船體部) 중량|NULL
Hull-return System|선체귀선방식|선체를 하나의 도선으로 생각하여 한 선만을 배선하는 전기공사 방식
Human Engineering|인간 공학(人間工學|NULL
Human System Integration (HSI)|인간-시스템 통합|시스템의 개발과정에서 인력, 조직, 훈련, 인간공학, 시스템안전, 보건, 편의성, 생존성(신뢰성)과 같은 시스템의 분야들을 통합하는 기술적 과정
Human element analyzing process (HEAP)|인적요인 분석절차|해상안전과 환경보호와 관련된 인적 요인을 다루는 실용적인 방법으로, 설계, 인간공학, 실험, 승인 및 관리 등의 기술적 검토와 함께 정원, 훈련, 작업환경 등의 분야에 대한 검토를 포함
Humidity Control|습도 조정(濕度調整|NULL
Hummering Rock Breaker|타격식쇄석기|반복타격으로 암석을 부수는 기계
Hump|험프|배가 항주할 때 생기는 선수파와 선미파의 간섭으로 조파저항이 뚜렷하게 늘어나는 현상
Hump Speed|험프속도|배에서 험프가 나타나는 속도
Huricane Lamp|폭풍등|심한 바람에도 꺼지지 않게 만든 석유등
Huristic Knowledge|체험적(體驗的) 지식|NULL
Hurricane Deck|허리케인갑판|경구조로 만들어진 최상층의 전통갑판
Hybrid IC|혼성 집적 회로|NULL
Hydrant Valve|소화(消火) 밸브|NULL
Hydraulic Crane|수압식크레인|수압식 원동기를 이용하는 기중기
Hydraulic Jack|수압잭|실린더 램에 유압이나 수압을 작동시켜 램 위에 얹힌 중량물을 들어올리는 기계
Hydraulic Jack|유압(油壓) 잭|NULL
Hydraulic Jack Unit|유랍잭유닛|유압실린더로 탑재구조물을 이동시키는 장치
Hydraulic Lift (Cherrypicker|고소차(高所車|NULL
Hydraulic Oil|유압작동(油壓作動)유|NULL
Hydraulic Power Pack|유압(油壓)발생장치|NULL
Hydraulic Press|수압프레스|높은 압력의 물로 작동되는 프레스
Hydraulic Release Unit|수압이탈장치|선박의 침몰시 수압을 받으면 구명뗏목이 자동으로 이탈되도록 하는 장치
Hydraulic Riveter|수압리베터|수압을 이용하여 리벳작업을 하는 기계
Hydraulic Tank|수압탱크|수압을 얻기 위하여 높은 곳에 설치한 탱크
Hydraulic Test|수압시험|탱크나 배관에 규정수압을 가하여 누수와 변형 등을 조사하는 시험
Hydraulic Trigger|수압방아쇠|고정대와 진수대 간의 멈춤장치를 순간적으로 풀어주어 미끄럼 진수가 시발되게 하는 수압식 걸림쇠장치
Hydraulic Winch|수압윈치|수압이나 유압으로 작동되는 윈치
Hydridynamics|유체역학|유체의 유동현상을 해석하는 학문
Hydroaeroplane|수상비행기|수면에서 뜨고 내릴 수 있는 비행기
Hydrochloric Acid|염산(鹽酸|NULL
Hydrofoil|수중날개|선체부가물로 수중에서 양력을 얻도록 설계된 날개
Hydrofoil Boat|수중익선(水中翼船|NULL
Hydrogen Test|수소시험|용착금속에 함유되는 수소량을 측정하여 용접봉의 품질을 판단하기 위한 시험
Hydrometer|비중계(比重計|NULL
Hydrophone|수중청음장치|수중에서 발생하거나 반사되는 음파를 수신하는 장치
Hydrophore Unit|압력탱크장치|NULL
Hydroplane|하이드로플레인|바닥이 평편하게되고 추진기만 물에 잠겨 추진하는 수상활주형의 배
Hydrostatic Pressure|정수압|정지상태에 있는 유체의 압력
Hydrostatic Test|수압 시험(水壓試驗|NULL
Hydrostatic test|수압시험|배관, 탱크, 보일러 등과 같이 압력을 받는 부품에 수압을 가하여 누설 여부 또는 변형 등을 확인하는 시험. 일반적으로 설계압력의 1.5배의 압력으로 수행됨
Hygrometer|습도계(濕度計|NULL
Hyperbaric evacuation system|고압탈출설비|선박 또는 부유 구조물에서 수압을 받는 잠수부들을 감압이 가능한 위치로 안전하게 대피시킬 수 있는 장비. 주요 구성 요소로는 고압 대피소(hyperbaric evacuation unit), 취급 시스템(handling system) 및 생명유지시스템(life-support system) 등이 있음
I-bar|아이(I)형재|I형 단면을 가진 형재
I-beam|아이빔|I형 단면을 가진 형재로 된 보
I/E ( Inclining Experiment|경사 시험(傾斜試驗|NULL
IACS : International Association of Classification Societies|아이악스|국제선급연합회의 약칭
IACS(International Association of Classification Socities|국제 선급연합회|NULL
IAE|영향평가검토|IAE(Impact Assessment Exercise), 기구가 기술협력 프로그램 활동에 있어서 수반되는 미비 사항 및 예산상의 문제들을 식별하고 좀 더 효과적인 기술협력 활동이 가능하도록 감사하는 제도
IAEA (International Atomic Energy Agency|국제 원자력기구|NULL
IAEG-SDGs|SDG에 관한 유엔 범부처 전문가 그룹|IAEG-SDGs (Inter-Agency and Expert Group on SDGs), 2015년 UN 회의를 통해 설립되었으며, 회원국과 국제전문기구의 전문가들로 구성됨. 주로 효과적인 SDG(지속가능개발목표) 이행을 위한 활동을 수행함
IBC Code|위험화학품 산적운송 선박의 구조 및 설비에 관한|IBC Code (International Code for the Construction and Equipment of Ships Carrying Dangerous Chemicals in Bulk), IBC 코드는 대량의 화학물질 운송은 SOLAS VII 장과 MARPOL Annex II 규정을 따름. 두 협약 모두 1986년 7월 1일 이후 산적액체 위험화학물질을 운반하는 탱커선의 건조 및 장비에 대한 국제법을 준수하도록 건조해야 함
ICAO|국제민간항공기구|ICAO (International Civil Aviation Organization) 국제민간항공조약에 기초해 1947년 4월에 설립된 유엔 전문기구 로서 항공기의 안전확보, 항공로나 공항 및 항공시설 발달의 촉진, 부당경쟁에 의한 경제적 손실의 방지 등을 목적으로 운영됨
ICAO (International Civil Aviation Organization|국제민간항공기구|NULL
ICC|ICC|ICC (Interregional Coordination Center), 중앙아프리카와 서아프리카 지역의 해상안전 및 보안을 위해 국제 규정을 준수하고 해당 지역의 상호 간 국제협력 활동을 촉진하며 발전적인 해상안전 전략을 수립하기 위한 센터
ICCP(Impressed Current Cathodic Protection|유전양극식 방식|NULL
ICCT|국제청정교통위원회|ICCT(International Council on Clean Transportation), 국제적 운송수단(선박, 항공 등)의 청정 기술을 개발하기 위한 위원회로서 IMO와는 블랙카본, EGCS 세정수, 중유 등의 논의를 함
ICS (International Chamber of Shipping|국제해운회의소|NULL
ICSC|국제공무원위원회|ICSC (International Civil Service Commission), 국제공무원위원회는 1974년 12월 18일 총회 결의 제3357호에 따라 설립된 유엔 총회 산하의 단체임. 본부는 뉴욕에 있음
ID (Internal Diameter|내경(內徑|NULL
IDE|국제 LRIT 데이터 교환기|IDE (International LRIT Data Exchange), 각 DC 간 LRIT 데이터 교환의 중계역할을 하며, 상호 데이터 교환목록을 생성함
IDENTIFICATION FRIEND OR FOE|적-아 식별기|NULL
IEC(International Electrotechnical Commission|국제 전기표준회의|NULL
IEC/IEEE 80005|IEC/IEEE 80005|IEC/IEEE 80005 : Utility connection in port, 항구에서 유틸리티(전원) 연결에 대한 표준 지침서. 아래와 같이 3개의 파트로 구분됨 - Part 1 : High voltage shore connection (HVSC) systems - Part 2 : High and low voltage shore connection systems - Part 3 : Low voltage shore connection (LVSC) systems
IEEE (Institute of Electrical and Electronic Engineers|미국 전기전자학회|NULL
IG ( Inert Gas ) Generator|불활성 가스 발생기|NULL
IGC (International Gas Code|국제 가스코우드|NULL
IGC Code|국제액화가스산적운송코드|IGC Code (International Code for the Construction and Equipment of Ships Carrying Liquefied Gases in Bulk), 산적 형태의 액화가스를 운송하는 선박의 설계, 구조, 설비 및 운용요건 등에 관한 국제규칙. 액화가스의 화학적 특성(가연성, 독성 등)과 초저온 또는 고압 상태에서의 위험성 등을 고려하여 선박 최소 운송요건을 결정함
IGF Code|가스연료 추진 선박의 안전에 관한 국제기준|IGF Code (International Code of Safety for Ships using Gases or other Low-flashpoint Fuels), 액화가스 또는 저 인화점 연료를 연료로 사용하는 선박의 안전을 위한 설계, 구조, 시스템 및 운영 등에 관한 사항 및 선박에 적용되는 강재 등에 관한 시험 규정, 비상대응 훈련 등에 관한 사항을 수록함. 현재 수록된 기능요건은 LNG를 기반으로 하며, 기타 연료에 관한 규정은 개발이 완료되는 대로 Code에 수록될 예정임
IHO (International Hygrographic Office|국제수로기구 (國際水路機構|NULL
III Code|IMO 협약이행코드|국제해사기구(IMO) 창설 이래 해상안전과 해양오염방지를 위한 많은 국제협약 코드, 결의서 등을 채택하고 있음. 그렇지만 지속해서 발생하는 해양사고 관련, 근본적인 문제로써 개발한 IMO 협약을 회원국이 완전하며 효과적으로 준수하지 못한 점이 지적되어 좀 더 효과적으로 협약을 이행할 수 있는 규정을 코드로써 개발
IIW(International Institute of Welding|국제용접학회|NULL
ILLC(International Load Line Convention|국제 만재흘수선 조약|NULL
ILLUMINATION|조도단위|NULL
ILO (International Labor Organization|국제노동기구|NULL
ILO (International Labour Organization)|국제노동기구|국제노동기구(ILO)는 스위스 제네바에 본부를 두고 있으며, 노동문제를 다루는 국제연합의 전문기구임. ILO는 제1차 세계대전 후 베르사유 조약에 따라 국제연맹의 한 기관으로 1919년에 설립되었으며, 노동자들이 자유롭고 평등하며 안전하게 인간의 존엄성을 유지할 수 있는 노동을 보장하는 것을 목표로 하고 있음. 우리나라는 1991년 12월 ILO의 152번째 회원국으로 가입하였음. 2019년 ILO 100주년 총회 의제는 “더 밝은 미래를 위한 근로(Work for a Brighter Future)”이었음
IMDG Code|국제해상위험물규칙|IMDG Code (International Maritime Dangerous Goods Code), 포장 형태 위험물의 해상운송에 관한 국제규칙. 위험물의 물리적·화학적 특성에 따른 위험성의 분류, 위험물의 포장 방법, 표시 및 표찰 방법, 위험물 운송서류, 선상 위험물의 적재·격리 등에 관한 안전규정을 수록함
IMLI|국제해사법대학원|IMLI (IMO International Maritime Law Institute), IMO가 국제 해사법 전문가 양성을 위해 1988년 몰타(Malta)에 설립하였으며 약 950명가량 졸업생을 배출하였음. 석사과정에는 법학, 인문학, 철학 및 이학이 있으며 박사과정에는 법학이 있음
IMO (International Maritime Organization|국제 해사기구|NULL
IMO : International Maritime Organization|아이엠오|해상 인명 안정과 재산보호 및 해상 오염방지를 위한 유엔산하의 정부간 협의기구
IMO Award for Exceptional Bravery at Sea|바다의 의인상 대상|‘IMO 바다의 의인상’은 국제해사기구(IMO)가 매년 해상에서 인명구조 및 해양오염 방지를 위해 노력한 개인이나 단체를 선정하여 주는 상으로써, 국제해사기구(IMO)는 2007년부터 회원국 및 관련 국제단체가 추천한 후보자 중 평가위원단의 엄격한 심사를 거쳐 수상자를 선정하고 있음. 2011년 아덴만에서 해적에게 피랍된 선박의 선원을 구출하는 작전(아덴만의 여명)에서 공을 인정받아, 대한민국의 석해균 선장이 바다의 의인상 대상을 수상한 이력이 있음
IMO Compendium|IMO Compendium|IMO Conpendium(The Compendium on Facilitation and Electronic Business)는 간소화 및 전자비즈니스에 대한 개요서로, 전자데이터 교환을 통해 선박·사람·화물의 도착·체류·출발에 필요한 정보의 전송, 수신 및 응답을 지원하는 데 필요한 시스템을 생성하고 조화롭게 하기위한 참조 매뉴얼 역할을 하는 기술적인 문서임. 국제해사기구(IMO), 세계관세기구(WCO), 유럽연합 유럽경제이사회(UNECE), 국제표준화기구(ISO) 등의 데이터를 상호 조화롭게 하여 싱글윈도우 상호 운용성을 지원함
IMO DCS|선박연료유 사용량 보고제도|IMO DCS(Data Collection System), 총톤수 5,000톤 이상의 국제항해 선박의 연료유 사용량 정보(연료유 사용량, 운항 거리, 운항시간, 선박 정보 등)를 수집하여 온실가스 배출현황을 분석하고 선박에너지 효율진단 및 규제에 활용하기 위한 제도로 2019.1.1. 이후 사용한 연료유 사용량 등을 주관청에 보고해야 함
IMO Goodwill Maritime Ambassador Scheme|IMO 명예 대사 제도|해사 분야에 종사하거나 종사 예정인 젊은 세대에게 해사 분야 전문가들이 관련 경험 및 지식 그리고 국제해사기구(IMO)에 관해 전파·공유하기 위해 2015년 신설한 IMO 차원의 홍보 제도임
IMO Greenhouse Gas Study (GHG Study)|IMO 온실가스 연구|국제 해운이 배출하는 온실가스 배출량을 산정하고, 미래 온실가스 배출량을 예측하기 위하여 IMO에서 실시하는 연구이며 1차 연구 결과는 2000년, 2차 연구 결과는 2009년, 3차 연구 결과는 2016년에 발표됨. 현재 4차 연구 수행 중이며, 2020년 하반기에 연구 결과가 발표될 예정. 3차 연구 결과에 따르면 2012년 국제 해운은 전 세계 온실가스 배출량의 약 2.2%를 배출함
IMO Model Courses|표준훈련과정|1978년 개정된 선원의 훈련·자격증명 및 당직근무의 기준에 관한 국제협약 (STCW)을 채택한 후, 다수의 IMO 회원국의 제안으로 표준훈련과정이 개발됨. 초기 노르웨이 정부의 협력으로 표준훈련과정을 개발하였고, 이러한 표준훈련과정은 협약의 개정 및 기술 발전에 따라 정기적으로 최신화됨. 표준훈련과정은 일정한 기준을 가지고 구성되며, 총 5개의 Part(Part A~E)로 구성됨 Part A : Course Framework for all functions(코스 체계) Part B : Course Outline(코스 개요) Part C : Detailed Teaching Syllabus(교육과정 상세) Part D : Instructor Manual(강사 매뉴얼) Pard E : Evaluation(평가)
IMO Number|선박식별번호|선박의 고유번호로, 선박 등록 신청 시 국제해사기구(IMO)에서 부여하고 있음. 사람에 비유했을 때 주민등록번호와 같다고 볼 수 있으며, 이것은 기관실과 선미에 표기하거나 탱커는 펌프 룸에 표시되어 쉽게 식별할 수 있도록 해야 함
IMO Regional Presence Scheme|지역 주재소 제도|IMO는 개도국에 대한 효율적인 기술협력 활동을 수행 및 편의를 위해 1990년 아프리카 케냐에 첫 번째 지역 주재소를 설립하였으며, 2000년에 아비장 트리니다드토바고(Abidjan, Cote d'Ivoire), 2003년에 마닐라 필리핀(Manila Philippines)에 차례로 Regional presence를 세움. 현재 총 4개 지역 주재소를 운영하고 있음 주재소 위치 관할 지역  아비장 트리니다드토바고 (Abidjan, Cote d'Ivoire) 서중앙아프리카 (Francophone)  아크라 가나 (Accra, Ghana) 서중앙아프리카 (Anglophone)  나이로비 케냐 (Nairobi, Kenya) 남동부아프리카 (eastern & southern Africa)  마닐라 필리핀 (Manila Philippines) 서아시아 (east Asia)
IMO Tonnage|아이엠오톤수|국가별로 산만한 과세기준 톤수를 통일하기 위하여 제안된 국제기구의 톤수
IMO/ILO joint database|IMO/ILO 공동 데이터베이스|IMO 및 ILO가 선원 유기 문제를 모니터링하기 위해 선원 유기 사건 에 대한 공동 데이터베이스(DB)를 운영하게 됨. 이 데이터베이스는 세계선용품협회 (International Shipsuppliers & Services Association ; ISSA)의 지원을 받아 2005년 4월 1일에 DB가 구축 되어 운영되고 있으며, 2004년 1월 1일 이후 보고된 모든 사건사례 를 포함하고 있음 IMO/ILO 공동 데이터베이스에 따르면 2004년~2019년 기간 동안 총 415건의 유기사건이 있었으며 5,297명의 선원피해가 발생하였 음. 이 중에서 182건은 해결되었고(resolved), 88건은 분쟁 중이며 (disputed), 52건은 조치가 불필요함(inactive). 그러나 82건 (19.8%)은 여전히 미해결(unresolved) 상태임 2011년~2016년 기간 매년 12건에서 19건의 선원유기 사건이 발생 하였으나, 2017년은 55건, 2018년에는 44건, 2019년에는 40건이 발생하는 등 최근 크게 증가함. 아울러 선원유기 재정보증에 관한 2014년 해사노동협약(MLC) 개정안이 2017년 1월 18일 발효된 이 후인 2017년 1월 18일 ∼ 2019년 12월 13일 동안에는 총 137건 의 선원유기 사건이 IMO/ILO 공동 데이터베이스에 보고되었음
IMPA (International Maritime Pilots' Association|국제 도선사협회|NULL
IMPEDANCE|임피던스|NULL
IMPEDENCE|특성임피던스|NULL
IMPORTANCE FACTOR|중요도계수|NULL
IMPRESSED CATHODIC CURRENT PROTECTION|전류에 의한 선체부식방지 장치|NULL
IMPRESSED CURRENT CATHODIC PROTECTION|부식방지|NULL
IMSBC Code|국제산적고체화물운송규칙|IMSBC Code (International Maritime Solid Bulk Cargoes Code), 산적 형태로 운송되는 고체 화물의 해상운송에 관한 국제규칙. 산적 고체 화물의 물리적·화학적 특성, 적재, 관리, 하역, 짐 고르기 등에 관한 일반적인 운송 규정 이외에도, 화물별 해상운송 규정에 관한 개별화물 일람표(individual schedule) 등을 수록
IMSSEA|국제해사안전보건아카데미|IMSSEA (International Maritime Safety, Security and Environment Academy), 2009년 5월 IMO와 이탈리아 정부 간의 양해각서 체결로 설립되었으며 해상안전과 보안 및 환경보호에 관한 국제 규정을 준수하도록 개도국의 교육을 목적으로 교육함. 이탈리아에 위치함
IMST Fund|안보신탁기금|IMST Fund (The International Maritime Security Trust Fund), 2001년 미국의 9·11 사태 이후 테러리스트 활동 방지를 위한 유엔 결의에 근거하여 국제해사기구(IMO)에서도 해상안보를 강화하기 시작함. 이에, IMO 제22차 총회(2001. 11)에서 채택된 해상안보에 대한 결의문으로 IMO 사무총장은 2002년 2월에 통합기술협력 프로그램(ITCP)을 통해 해상 및 항만 보안 강화 지원을 결정하고, 이를 수행하기 위한 재원확보 목적으로 IMST Fund를 설립함
INCLINING EXPERIMENT|경사 시험|NULL
INCOMPLETE FUSION|불안전용융|NULL
INCOMPLETE PENETRATION|불완전 용입|NULL
INCREASE IN DISPLACEMENT PER onE CENTIMETER|1센티미터당 배수톤수 증가|NULL
INDIAN STANDARD|인도표준공업규격|NULL
INDIRECT ILLUMINANCE|간접조도|NULL
INDIRECT LIGHTING|간접조명|NULL
INDUCED CURRENT|유도 전류|NULL
INDUCED ELECTROMOTIVE FORCE|유도 기전력|NULL
INDUCTION MOTOR, INTEGRATION MOTOR|유도 전동기 , 적분 모터|NULL
INDUSTRIAL ENGINEERING|산업공학|NULL
INDUSTRIAL PERSONNEL|산업인력|여객이나 선원이 아니며 기타 선박이나 해양 설비의 산업활동을 위해 선박으로 수송되거나 선박에 머무르는 모든 인력
INERT GAS|不 활성 가스|NULL
INERT GAS GENERATOR|INERT 가스 제조장치|NULL
INERTIAL NAVIGATION SYSTEM|관성 항법 장치|NULL
INERTIAL REFERENCE SYSTEM|관성 기준 장치|NULL
INFRARED|적외선|NULL
INITIAL PROGRAM LOADER|초기 프로그램 적재기|NULL
INJECTION LASER DIODE|주입형 레이저 다이오드|NULL
INMARSAT|국제해사위성기구|INMARSAT (International Maritime Satellite Organization), 1976년 9월 3일 채택된 국제해사위성기구(INMARSAT)에 관한 협약에 따라 설립된 기구. 1999년 영리기업으로 넘어가면서 현재 국제해사위성기구는 IMSO임
INMARSAT (International Maritime Satellite) system|국제해사위성시스템|NULL
INNER BOTTOM|DOUBLE BOTTON의 TANK TOP|NULL
INORGANIC ZINC|무기질 아연(도료의 종류)|NULL
INPUT OUTPUT CONTROL SYSTEM|입출력 제어 시스템|NULL
INS (Integrated Navigation System|통합항법장치|NULL
INSA (International Shipowners' Association|국제선주협회|NULL
INSPECTION|검사|NULL
INSPECTION RELEASE CERT.|최종검사합격증|NULL
INSPECTION REQUIREMENT|검사요구|NULL
INSTANTANEOUS AUTOMATIC GAIN|순시 자동 이득 조절|NULL
INSTITUTE OF ELECTRICAL AND ELECTRONIC|전기 전자 학회|NULL
INSTRUMENTATION|계장|NULL
INSULATED GATE BIPOLAR TRANSISTOR|고전력 스위칭용 반도체|NULL
INSULATED GATE BIPOLAR TRANSISTOR|전력용 반도체|NULL
INSULATED GATE FET|절연 게이트 FET|NULL
INSULATING CORE TRANSFORMER|절연 철심 변압기|NULL
INSULATION|절연 B 종|NULL
INSULATION|절연 C 종|NULL
INSULATION|절연 F 종|NULL
INSULATION CABLE|절연 전선|NULL
INSULATION CABLE|절연전선|NULL
INSULATION RESISTANCE|절연저항시험|NULL
INSULATION RESISTANCE TEST|절연저항시험|NULL
INSULATION TEMPERATURE|절연 허용 온도|NULL
INTACT STABILITY|비손상 복원성|선박이 손상을 입는 것을 가정하지 않은 상태에서, 선박의 운용될 수 있는 적재조건에서 충분한 복원성이 확보되는지 평가
INTEGER PROGRAMMING, INFORMATION|정수 계획법 , 정보 제공자|NULL
INTEGRATED AUTOMATION SYSTEM|종합 자동 제어 시스템|NULL
INTEGRATED INJECTION LOGIC|직접 주입 논리 회로|NULL
INTEGRATED SERVICES DIGITAL|종합 정보 통신망|NULL
INTELLIGENT TIME DIVISION MULTIPLEXING|지능 시분할 다중화|NULL
INTER COATING|층간 도장|NULL
INTERATIONAL CHAMBER OF COMMERCE|국제상업회의소|NULL
INTERFACIAL REFLECTION; REFLECTION FROM|계면 반사|NULL
INTERFERENCE|간섭|NULL
INTERGOVERNMENTAL MARITIME CONSULTATIVE ORGANIZATION|정부간 해사자문기구로 설립.82년 5월 22일자로 IMO로 명칭 변경|NULL
INTERMEDIATE DISTRIBUTING FRAME|중간 배선판|NULL
INTERMEDIATE FREQUENCY|중간 주파수|NULL
INTERMEDIATE FREQUENCY TRANSFORMER|중간 주파 트랜스|NULL
INTERMEDIATE SURVEY|중간 검사|NULL
INTERNAL DIAMETER|내경|NULL
INTERNAL FIELD|내부 전계|NULL
INTERNAL QUALITY AUDIT|내부품질검사|NULL
INTERNAL/EXTERNAL|내부/외부 외관검사|NULL
INTERNATION ASSOCIATION OF CLASSIFICATION SOCIETES|국제선급협회연합|NULL
INTERNATIONAL AMATEUR RADIO UNION|국제 아마츄어 무선협회|NULL
INTERNATIONAL ASSOCIATION OF INDEPENDENT TANKER OWNERS|국제독립탱커선주협회|NULL
INTERNATIONAL ASSOCIATION OF PORTS AND HARBORS|국제항만협회|NULL
INTERNATIONAL ATOMIC ENERGY|국제 원자력 기관|NULL
INTERNATIONAL ATOMIC ENERGY AGENCY|국제 원자력 기구|NULL
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT|국제 부흥 개발 은행|NULL
INTERNATIONAL BULK CODE|국제 BULK CODE|NULL
INTERNATIONAL BUSINESS MACHINE|미국 컴퓨터 제조회사|NULL
INTERNATIONAL CONFERENCE on COMPUTER APPLICATION IN SHIPBUILDING|선박의 콤퓨터응용에 관한 국제회의|NULL
INTERNATIONAL CONVENTION FOR THE PREVENTING OF POLLUTION FROM SHIP|해상오염방지조약|NULL
INTERNATIONAL CONVENTION FOR THE PREVENTION OF POLLUTION FROM SHIPS|해양 오염 방지협약(73/78년)|NULL
INTERNATIONAL CONVENTION FOR THE SAFETY OF LIFE AT SEA|해상인명(의안전)에 관한 국제 조약|NULL
INTERNATIONAL CONVENTION on LOAD LINES|국제만재홀수선 조약|NULL
INTERNATIONAL ELECTROTECHNICAL|국제 전기표준 협회|NULL
INTERNATIONAL FREQUENCY REGISTRATION|국제 주파수 등록 위원회|NULL
INTERNATIONAL GAS CODE|국제 가스 CODE|NULL
INTERNATIONAL INSTITUTE OF WELDING|국제 용접 협회 (= I.I.S)|NULL
INTERNATIONAL LABOUR ORGANIZATION|국제 노동 기구|NULL
INTERNATIONAL MARINE SATELLITE CONSORTIUM|국제 海事 위성 기구|NULL
INTERNATIONAL MARITIME INDUSTRY FORUM|국제해사산업평의회|NULL
INTERNATIONAL MARITIME ORANIZATION|국제 해상 기구|NULL
INTERNATIONAL MARITIME ORGANIZATION|국제해사기구|NULL
INTERNATIONAL MONETARY FUND|국제 통화 기금|NULL
INTERNATIONAL ORGANIZATION FOR|국제 표준화 기구|NULL
INTERNATIONAL ORGANIZATION FOR STANDARDIZATION|국제표준화기구|NULL
INTERNATIONAL RADIO CONSULTATIVE|국제 무선통신 자문 위원회|NULL
INTERNATIONAL REGULATIONS FOR PREVENTING COLLISION AT SEA|해상충돌방지에 관한 국제협약|NULL
INTERNATIONAL RULES FOR THE INTERPRETATION OF TRADE TERMS|무역 조건의 해석에 관한 국제 규칙|NULL
INTERNATIONAL SYSTEM OF UNITS|국제 단위계|NULL
INTERNATIONAL TELECOMMUNICATION|국제 전기 통신 조약|NULL
INTERNATIONAL TELECOMMUNICATION UNION|국제 전기 통신 연합|NULL
INTERNATIONAL TELEGRAPH AND TELEPHONE|국제 전신전화 자문위원회|NULL
INTERNATIONAL TOWING TANK CONFERENCE|국제시험수조협회|NULL
INTERNATIONAL TRADE FEDERATION|국제 운수 노조 연맹|NULL
INTERPASS TEMPERATURE|층간 온도|NULL
INTERTANKO (International Association of Independent Tanker Owners|국제독립탱커 선주 협회|NULL
INVERTED ANGLE|비등변형강재 (산형재의 일종)|NULL
IOPP (International Oil Pollution Prevention Certificate|국제 기름 오염 방지 증서|NULL
IPER|IPER|IPER (Institut Portuaire d’Enseignement et de Recherche du Havre), IMO와 프랑스 정부의 협력으로 1986년 프랑스에 설립되었으며 주로 항만 운영관리에 관한 교육과정을 제공함
IPSAS|국제공공회계기준|IPSAS (International Public Sector Accounting Standards), 전 세계 공공 부문 기관이 재무제표를 작성하기 위해 IPSAS 이사회가 발행한 일련의 회계 표준
IS (Intrinsically safe|본질안전(本質安全|NULL
IS(Intrinsic Safety) Barrier|본질안전 격리판|NULL
ISF (International Shipping Federation)|국제해운연맹|ISF는 1909년 창설된 민간기구로 런던에 본부를 두고 있으며, 선원 문제에 관한 선주의 권익 보호와 자문을 위해 각국의 선주협회를 회원으로 하는 단체이며, 한국선주협회는 1980년 8월에 이 기구에 가입하였음. 1919년 국제노동기구(ILO)의 창설 이후 고용 문제 및 노사문제가 국제적으로 대두되자 선원노조의 세계적인 단체인 국제운수 노동자연맹의 활동에 대처하기 위하여 ISF는 그 기능과 조직을 대폭 개편하였음 ISF는 선원의 모집, 훈련, 자격 규정, 승무, 사고방지, 의료복지, 임금, 노동조건, 고용조건, 선내 거주 시설과 복지시설, 사회보장제도 등 선원 문제 전반에 걸쳐 각국 선주의 이익을 도모했음. ICS와 성격이 비슷하여 1975년 ICS에 통합하여 국제문제를 다루고 있는데, ICS는 모든 규제적/법적 문제 및 운영상 제반 문제에 관여하는 반면, ISF는 주로 노동문제 및 훈련 등의 문제를 주로 다룸
ISM (International Safety Management) Code|국제안전관리규정|NULL
ISM Code|국제안전관리규약|ISM Code(International Safety Management Code) 해양사고 대부분이 선박 자체의 결함보다는 인적과실 기인하여 발생하고 있음. IMO 차원에서 해상안전, 해양사고방지 및 해양환경 보호를 위한 시스템을 개발하여 국제적인 관리기준인 국제안전경영 코드(ISM Code)를 제정하였으며 이 코드는 1998년 7월 1일부터 국제적으로 발효됨
ISMA (International Ship Managers' Association|국제선박관리자협회|NULL
ISO(International Standardization Organization|국제 표준화기구|NULL
ISOLATION AMPLIFIER|아이솔레이션 증폭기|NULL
ISOMETRIC DRAWING|설치도|NULL
